"","Frequency.age_vehicle","Frequency.Freq","Proportion.age_vehicle","Proportion.Freq"
"1","0",25957,"0",0.0385739081846768
"2","1",47906,"1",0.0711916494777951
"3","2",44867,"2",0.0666754840128634
"4","3",44197,"3",0.0656798173917695
"5","4",43586,"4",0.0647718288761153
"6","5",40983,"5",0.0609035897496864
"7","6",38279,"6",0.0568852575953016
"8","7",37058,"7",0.0550707666335769
"9","8",37278,"8",0.0553977019419957
"10","9",39157,"9",0.0581900266898097
"11","10",40726,"10",0.0605216698666698
"12","11",41333,"11",0.0614237141039892
"13","12",41370,"12",0.0614786986785869
"14","13",38414,"13",0.0570858769891041
"15","14",33386,"14",0.049613919122149
"16","15",26848,"15",0.0398979961837733
"17","16",19376,"16",0.0287940842542011
"18","17",12829,"17",0.019064786689572
"19","18",7872,"18",0.0116983397630611
"20","19",4642,"19",0.0068983350076384
"21","20",2739,"20",0.00407034458981507
"22","21",1707,"21",0.00253672077941378
"23","22",1105,"22",0.00164210689001302
"24","23",783,"23",0.00116359248405447
"25","24",518,"24",0.000769784044368094
