"","age_of_driver_cars","Freq"
"1","18",1.95484951066074
"2","19",2.11134957334926
"3","20",2.25826197903991
"4","21",2.26534209497681
"5","22",2.33112817222382
"6","23",2.37478888716803
"7","24",2.39883178087041
"8","25",2.67598881931692
"9","26",2.48851324940446
"10","27",2.44072246683039
"11","28",2.46476536053278
"12","29",2.43983745233828
"13","30",3.47043682840307
"14","31",2.29218753457088
"15","32",2.26401457323864
"16","33",2.22625395490851
"17","34",2.27094718676018
"18","35",2.301037679492
"19","36",2.1100220516111
"20","37",2.12078972793179
"21","38",1.98243246233157
"22","39",1.93287165077328
"23","40",2.20280107086754
"24","41",1.78492672817517
"25","42",1.79466188758841
"26","43",1.75690126925828
"27","44",1.76412888761053
"28","45",1.9666497038889
"29","46",1.80233201318672
"30","47",1.79569440449587
"31","48",1.77194651562419
"32","49",1.72459824029618
"33","50",1.959569587952
"34","51",1.64819198914382
"35","52",1.63004919205552
"36","53",1.59051854474117
"37","54",1.50540965108304
"38","55",1.49744452065403
"39","56",1.3406494531348
"40","57",1.29920127442087
"41","58",1.23607024065019
"42","59",1.13016350642742
"43","60",1.13562109579544
"44","61",0.988708690104801
"45","62",0.887079525927237
"46","63",0.869821743331047
"47","64",0.800790612946287
"48","65",0.780287777212352
"49","66",0.692966347323937
"50","67",0.667595931883385
"51","68",0.664645883576344
"52","69",0.684116202402814
"53","70",0.67659357921986
"54","71",0.618920134817208
"55","72",0.592959709715247
"56","73",0.540153845019212
"57","74",0.507555811226409
