"","model","Freq"
"1","AJS MODENA 125",11
"2","APRILIA MODEL MISSING",15
"3","APRILIA RS 125",19
"4","APRILIA SR 50",17
"5","APRILIA TUONO",14
"6","BENELLI BN",12
"7","BENELLI TORNADO",19
"8","BMW F 750",11
"9","BMW F 800",26
"10","BMW R 1200",90
"11","BMW R 1250",32
"12","BMW S 1000",62
"13","DUCATI 899 PANIGALE",10
"14","DUCATI MULTISTRADA 1200",11
"15","GILERA RUNNER",12
"16","GILERA RUNNER 125",37
"17","HARLEY-DAVIDSON FLS",12
"18","HARLEY-DAVIDSON MODEL MISSING",21
"19","HARLEY-DAVIDSON XL 1200",21
"20","HARLEY-DAVIDSON XL 883",15
"21","HONDA AFS1102SH",12
"22","HONDA ANC125",73
"23","HONDA ANC125E",28
"24","HONDA ANF125",23
"25","HONDA C90",10
"26","HONDA CB1000",16
"27","HONDA CB500",15
"28","HONDA CB500XA",16
"29","HONDA CB600 HORNET",18
"30","HONDA CB600F",29
"31","HONDA CB650",13
"32","HONDA CBF125M",160
"33","HONDA CBF125N",50
"34","HONDA CBF600N",10
"35","HONDA CBR 650 FA",12
"36","HONDA CBR1000RR",49
"37","HONDA CBR1100XX",12
"38","HONDA CBR125R",157
"39","HONDA CBR500",13
"40","HONDA CBR500RA",15
"41","HONDA CBR600F",36
"42","HONDA CBR600RR",37
"43","HONDA CBR900RR",19
"44","HONDA CG125",21
"45","HONDA FES125",46
"46","HONDA GLR 125",187
"47","HONDA MODEL MISSING",137
"48","HONDA MSX125",54
"49","HONDA NC 750",27
"50","HONDA NC750XA",17
"51","HONDA NHX110WH",32
"52","HONDA NSC 110",112
"53","HONDA NSC110E",253
"54","HONDA NSC110MP",305
"55","HONDA NSC110WH",84
"56","HONDA NSC50E",13
"57","HONDA NSC50WH",21
"58","HONDA NSS",67
"59","HONDA NSS 125 AD",79
"60","HONDA NSS300A",21
"61","HONDA NT700V",15
"62","HONDA PES 125",111
"63","HONDA SES125",13
"64","HONDA SH 125",233
"65","HONDA SH 125 AD",21
"66","HONDA SH125",222
"67","HONDA SH300A",32
"68","HONDA ST1300A",10
"69","HONDA VFR800F",18
"70","HONDA WW125",519
"71","HONDA WW125EX2",390
"72","HONDA XL125V",18
"73","HYOSUNG GT 125",18
"74","KAWASAKI BR125",10
"75","KAWASAKI BX125",13
"76","KAWASAKI EN650",13
"77","KAWASAKI ER650",31
"78","KAWASAKI EX 650",16
"79","KAWASAKI EX250",14
"80","KAWASAKI EX650",21
"81","KAWASAKI KLE650",16
"82","KAWASAKI MODEL MISSING",58
"83","KAWASAKI ZR1000",22
"84","KAWASAKI ZR750",17
"85","KAWASAKI ZR800",16
"86","KAWASAKI ZR900",14
"87","KAWASAKI ZX1000",52
"88","KAWASAKI ZX1400",15
"89","KAWASAKI ZX600",48
"90","KAWASAKI ZX636",19
"91","KAWASAKI ZX900",25
"92","KEEWAY RK 125",10
"93","KEEWAY RKS 125",15
"94","KEEWAY SUPERLIGHT",28
"95","KEEWAY TX 125",13
"96","KTM 125 DUKE",72
"97","KTM 1290 SUPER ADVENTURE",10
"98","KTM 1290 SUPERDUKE",13
"99","KTM 390 DUKE",14
"100","KTM 790 DUKE",10
"101","KTM RC 125",29
"102","KYMCO AGILITY",20
"103","LAMBRETTA MODEL MISSING",13
"104","LEXMOTO ASSAULT 125",26
"105","LEXMOTO DIABLO 125",14
"106","LEXMOTO ECHO 50",27
"107","LEXMOTO ENIGMA",16
"108","LEXMOTO HUNTER",11
"109","LEXMOTO ISCA 125",20
"110","LEXMOTO LXR",51
"111","LEXMOTO MICHIGAN",14
"112","LEXMOTO TITAN 125",23
"113","LEXMOTO VENOM 125",35
"114","LEXMOTO VIPER 125",14
"115","LEXMOTO XFLM 125",19
"116","LEXMOTO XTR 125",21
"117","LEXMOTO ZSB 125",13
"118","LEXMOTO ZSX 125",29
"119","LONGJIA LJ",11
"120","PEUGEOT KISBEE",25
"121","PEUGEOT SPEEDFIGHT",46
"122","PEUGEOT TWEET 125",33
"123","PIAGGIO FLY",43
"124","PIAGGIO LIBERTY",131
"125","PIAGGIO MEDLEY 125",17
"126","PIAGGIO MP3",21
"127","PIAGGIO TYPHOON",26
"128","PIAGGIO VESPA",170
"129","PIAGGIO ZIP",52
"130","PULSE XF 125",11
"131","QINGQI QM 125",12
"132","QINGQI QM 125 GY",25
"133","SINNIS RSX 125",11
"134","SINNIS ZS 125",21
"135","SUZUKI AN 400",13
"136","SUZUKI DL 650",13
"137","SUZUKI GS 500",11
"138","SUZUKI GSF 1200",24
"139","SUZUKI GSF 1250",13
"140","SUZUKI GSF 600",38
"141","SUZUKI GSF 650",22
"142","SUZUKI GSR 750",15
"143","SUZUKI GSX 1300",20
"144","SUZUKI GSX 650",16
"145","SUZUKI GSXR 1000",62
"146","SUZUKI GSXR 1100",26
"147","SUZUKI GSXR 600",68
"148","SUZUKI GSXR 750",54
"149","SUZUKI GSXS 1100",11
"150","SUZUKI GZ 125",12
"151","SUZUKI MODEL MISSING",73
"152","SUZUKI RV 125",16
"153","SUZUKI SV 650",74
"154","SUZUKI UH 125",13
"155","SUZUKI UK 110",51
"156","SYM CROX 125",11
"157","SYM JET",37
"158","SYM JET 125",13
"159","SYM SYMPHONY",17
"160","TRIUMPH BONNEVILLE",50
"161","TRIUMPH DAYTONA 675",16
"162","TRIUMPH MODEL MISSING",18
"163","TRIUMPH ROCKET",11
"164","TRIUMPH SPEED MASTER 865",13
"165","TRIUMPH SPEED TRIPLE",14
"166","TRIUMPH SPEED TRIPLE 1050",19
"167","TRIUMPH SPRINT ST",10
"168","TRIUMPH SPRINT ST 1050",16
"169","TRIUMPH STREET TRIPLE",42
"170","TRIUMPH THUNDERBIRD",13
"171","TRIUMPH TIGER",76
"172","UM RENEGRADE",11
"173","YAMAHA DELIGHT 125",21
"174","YAMAHA DT 125 R",14
"175","YAMAHA FJR 1300",18
"176","YAMAHA FZ1",14
"177","YAMAHA FZ6",28
"178","YAMAHA FZS 600",31
"179","YAMAHA GPD 125",772
"180","YAMAHA MODEL MISSING",124
"181","YAMAHA MT07",63
"182","YAMAHA MT09",52
"183","YAMAHA MT10",11
"184","YAMAHA MT125",103
"185","YAMAHA MW125",10
"186","YAMAHA MWS125",20
"187","YAMAHA NXC 125",47
"188","YAMAHA R6",20
"189","YAMAHA TRACER",26
"190","YAMAHA WR 125",56
"191","YAMAHA X-MAX",14
"192","YAMAHA X-MAX 125",54
"193","YAMAHA X-MAX 300",16
"194","YAMAHA XC 125",72
"195","YAMAHA XC115",26
"196","YAMAHA XJ6",20
"197","YAMAHA XJR 1300",14
"198","YAMAHA XT 125",12
"199","YAMAHA XT 600",25
"200","YAMAHA YBR 125",185
"201","YAMAHA YP 125",60
"202","YAMAHA YQ 50 AEROX",15
"203","YAMAHA YS 125",43
"204","YAMAHA YZF R1",79
"205","YAMAHA YZF R125",233
"206","YAMAHA YZF R6",36
"207","ZONTES ZT 125",14
